,sombra_media_%,sombra_mediana_%,sombra_p90_%,sombra_max_%,h_con_sombra,h_sombra_>10%,h_sombra_>50%,sombra_irr_ponderada_%,energia_bloqueada_kWh_m2,energia_incidente_kWh_m2
SA67_ST84,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST91,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST88,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST94,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST102,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST79,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST73,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST76,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST77,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST85,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST97,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST72,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST132,84.52,100.0,100.0,100.0,8733,7322,7287,52.18,51.69,47.38
SA67_ST130,83.05,100.0,100.0,100.0,8736,7206,7140,50.4,49.94,49.14
SA67_ST127,81.64,100.0,100.0,100.0,8734,7055,7007,48.81,48.35,50.72
SA67_ST115,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.06,0.01
SA67_ST119,79.74,100.0,100.0,100.0,8725,6887,6831,56.04,55.52,43.56
SA67_ST125,80.42,100.0,100.0,100.0,8729,7009,6893,47.92,47.48,51.6
SA67_ST128,82.01,100.0,100.0,100.0,8732,7087,7043,49.17,48.72,50.36
SA67_ST131,83.82,100.0,100.0,100.0,8733,7284,7216,51.38,50.91,48.17
SA67_ST107,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST124,80.3,100.0,100.0,100.0,8730,6999,6887,50.19,49.73,49.35
SA67_ST113,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST106,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST122,79.56,100.0,100.0,100.0,8734,6887,6808,51.26,50.79,48.29
SA67_ST133,85.07,100.0,100.0,100.0,8735,7367,7339,52.67,52.18,46.89
